# Settings text, English on the left, German on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
Settings	Einstellungen
Back	Zurück
MENUS	MENÜS
Save	Speichern
Cancel	Abbrechen
Close	Schließen
Minimum	Minimum
Maximum	Maximum
Unlimited	Unbegrenzt
Do you wish to proceed?	Möchtest du fortfahren?
Current: %1$s %2$s	Aktuell: %1$s %2$s
videos	Videos
days	Tage
sp	sp
ms	ms
dp	dp
Feed filter	Feed-Filter
Ads, Shop, livestreams, and view limits.	Werbung, Shop, Livestreams und Aufruflimits.
Feed navigation	Feed-Navigation
Feed tabs, bottom tabs, and Tako AI.	Feed-Tabs, untere Tabs und Tako AI.
Interface	Oberfläche
Promotions, popups, publish dates, and feed controls.	Werbeaktionen, Popups, Veröffentlichungsdaten und Feed-Bedienelemente.
Comments and translation	Kommentare und Übersetzung
Auto translate, quick reactions, and copy options.	Automatische Übersetzung, Schnellreaktionen und Kopieroptionen.
Downloads	Downloads
Path, watermark, and offline videos.	Pfad, Wasserzeichen und Offline-Videos.
Playback	Wiedergabe
Video quality, speed and automatic advance.	Videoqualität, Geschwindigkeit und automatisches Weiterschalten.
Inbox	Posteingang
Rows, stories tray, and header controls.	Zeilen, Story-Leiste und Kopfzeilen-Elemente.
Share sheet	Teilen-Menü
Confirm before sending, and hidden people and options.	Bestätigung vor dem Senden sowie ausgeblendete Personen und Optionen.
Region settings	Regionseinstellungen
Country, operator, locale and timezone.	Land, Netzbetreiber, Sprache und Zeitzone.
App behavior	App-Verhalten
Sharing, playback, and gestures.	Teilen, Wiedergabe und Gesten.
Diagnostics	Diagnose
Settings backup and diagnostic reports.	Einstellungssicherung und Diagnoseberichte.
Feature Gate Lab	Feature Gate Lab
Search and override gate flags	Gate-Flags suchen und überschreiben
Search local TikTok gate metadata and configure isolated typed overrides.	Lokale TikTok-Gate-Metadaten durchsuchen und isolierte typisierte Überschreibungen einrichten.
Start feature gate recording	Feature-Gate-Aufzeichnung starten
Stop feature gate recording	Feature-Gate-Aufzeichnung beenden
Return after using a TikTok feature to see every gate read during the recording.	Komm nach dem Verwenden einer TikTok-Funktion zurück, um jeden Gate-Zugriff während der Aufzeichnung zu sehen.
Compare gate reads with their previous values. Last recording: %d gates.	Gate-Zugriffe mit ihren vorherigen Werten vergleichen. Letzte Aufzeichnung: %d Gates.
Recorded gate reads (%d)	Aufgezeichnete Gate-Zugriffe (%d)
Save JSON	JSON speichern
Browse	Durchsuchen
Copy report	Bericht kopieren
Back up settings	Einstellungen sichern
Save patch settings and Feature Gate Lab rules to a JSON file.	Patch-Einstellungen und Feature-Gate-Lab-Regeln in einer JSON-Datei speichern.
Restore settings	Einstellungen wiederherstellen
Choose a backup file. Your current settings are kept for Undo.	Wähle eine Sicherungsdatei. Deine aktuellen Einstellungen bleiben zum Rückgängigmachen erhalten.
Reset settings	Einstellungen zurücksetzen
Restore defaults immediately. Your current settings are kept for Undo.	Standardwerte sofort wiederherstellen. Deine aktuellen Einstellungen bleiben zum Rückgängigmachen erhalten.
Undo last restore	Letzte Wiederherstellung rückgängig machen
Recover the settings saved before the last restore or reset.	Die vor der letzten Wiederherstellung oder Zurücksetzung gespeicherten Einstellungen zurückholen.
Settings saved. Restart TikTok to apply all changes.	Einstellungen gespeichert. Starte TikTok neu, damit alle Änderungen wirken.
About Hushfeed	Über Hushfeed
TikTok patches for Morphe, built on the Metra patches by icysymmetra and the community sets before them. Tap to open the project page.	TikTok-Patches für Morphe, aufgebaut auf den Metra-Patches von icysymmetra und den Community-Sammlungen davor. Tippe, um die Projektseite zu öffnen.
Blocked caption words	Gesperrte Wörter in Beschreibungen
Comma separated words or phrases. Matching captions are skipped. Case doesn't matter.	Wörter oder Ausdrücke, durch Kommas getrennt. Passende Beschreibungen werden übersprungen. Groß- und Kleinschreibung spielt keine Rolle.
Blocked creators	Gesperrte Creator
Comma separated account handles or user ids. These accounts are always skipped.	Kontonamen oder Nutzer-IDs, durch Kommas getrennt. Diese Konten werden immer übersprungen.
Maximum video length	Maximale Videolänge
Seconds. Zero keeps every length. If only quality rules reject a page, keep the nearest allowed candidate.	Sekunden. Null lässt jede Länge zu. Lehnen nur Qualitätsregeln eine Seite ab, bleibt der nächstliegende erlaubte Kandidat erhalten.
Maximum views per like	Maximale Aufrufe pro Like
Lower values require more likes per view. Zero disables this rule. One candidate may be kept to avoid an empty page.	Niedrigere Werte verlangen mehr Likes pro Aufruf. Null schaltet diese Regel ab. Ein Kandidat kann bleiben, damit die Seite nicht leer ist.
Hide promotional music	Werbemusik ausblenden
Skip videos marked as using promotional music.	Videos überspringen, die als Videos mit Werbemusik gekennzeichnet sind.
Hide LIVE replays	LIVE-Wiederholungen ausblenden
Skip recorded LIVE broadcasts in the feed.	Aufgezeichnete LIVE-Übertragungen im Feed überspringen.
Remove feed ads	Werbung im Feed entfernen
Remove ads from feed.	Werbung aus dem Feed entfernen.
Hide TikTok Shop	TikTok Shop ausblenden
Hide TikTok shop from feed.	TikTok Shop aus dem Feed ausblenden.
Hide livestreams	Livestreams ausblenden
Hide livestreams from feed.	Livestreams aus dem Feed ausblenden.
Hide story	Storys ausblenden
Hide story from feed.	Storys aus dem Feed ausblenden.
Hide image video	Bildbeiträge ausblenden
Hide image video from feed.	Bildbeiträge aus dem Feed ausblenden.
Min/Max views	Min./Max. Aufrufe
The minimum or maximum views of a video to show.	Die Mindest- oder Höchstzahl an Aufrufen, die ein Video zum Anzeigen haben darf.
Min/Max likes	Min./Max. Likes
The minimum or maximum likes of a video to show.	Die Mindest- oder Höchstzahl an Likes, die ein Video zum Anzeigen haben darf.
Hide paid partnerships	Bezahlte Partnerschaften ausblenden
Hide videos marked as paid partnership or branded content.	Videos ausblenden, die als bezahlte Partnerschaft oder Markeninhalt gekennzeichnet sind.
Hide AI generated videos	KI-generierte Videos ausblenden
Hide videos carrying TikTok's AI generated label.	Videos mit TikToks Kennzeichnung für KI-generierte Inhalte ausblenden.
Hide verified accounts	Verifizierte Konten ausblenden
Hide videos posted by verified accounts.	Videos von verifizierten Konten ausblenden.
Hide Series	Serien ausblenden
Hide videos that belong to a paid Series.	Videos ausblenden, die zu einer bezahlten Serie gehören.
Hide playlist videos	Playlist-Videos ausblenden
Hide videos posted as part of a playlist.	Videos ausblenden, die als Teil einer Playlist veröffentlicht wurden.
Skip blocked sounds	Gesperrte Sounds überspringen
Skip videos that use a sound blocked with the player's sound button, or named below.	Videos überspringen, deren Sound über die Sound-Taste im Player gesperrt wurde oder unten aufgeführt ist.
Blocked sound names	Gesperrte Sound-Namen
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Wörter, durch Kommas getrennt, die mit dem Namen eines Sounds verglichen werden, zum Beispiel Saxophon. Groß- und Kleinschreibung spielt keine Rolle.
Blocked sound ids	Gesperrte Sound-IDs
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Sound-IDs, durch Kommas getrennt, die über die Sound-Taste im Player erfasst wurden. Entferne eine, um sie freizugeben.
Hide videos you have already seen	Bereits gesehene Videos ausblenden
Keep a local record of what you have watched and drop those videos from later feed pages.	Lokal festhalten, was du gesehen hast, und diese Videos aus späteren Feed-Seiten entfernen.
Forget seen videos after	Gesehene Videos vergessen nach
Days to remember a video. Zero removes the age limit. History keeps at most 10,000 videos.	Tage, die ein Video gemerkt wird. Null hebt die Altersgrenze auf. Der Verlauf behält höchstens 10.000 Videos.
Clear the seen video history	Verlauf gesehener Videos löschen
Delete the local record of the videos you have watched.	Die lokale Aufzeichnung der Videos löschen, die du gesehen hast.
Clear the seen video history?	Verlauf gesehener Videos löschen?
This deletes the local record only. Your TikTok account history is not touched.	Das löscht nur die lokale Aufzeichnung. Dein TikTok-Kontoverlauf bleibt unberührt.
Seen video history cleared	Verlauf gesehener Videos gelöscht
Clear	Löschen
Hide the playlist bar	Playlist-Leiste ausblenden
Hide the playlist bar along the bottom of videos that belong to a series.	Die Playlist-Leiste am unteren Rand von Videos ausblenden, die zu einer Serie gehören.
Hide the event badge	Event-Abzeichen ausblenden
Hide the floating promotional badge over the feed.	Das schwebende Werbe-Abzeichen über dem Feed ausblenden.
Hide inserted cards	Eingeschobene Karten ausblenden
Hide the friend recommendation card and the other cards TikTok slots between videos.	Die Freundesvorschlagskarte und die anderen Karten ausblenden, die TikTok zwischen Videos einschiebt.
Filter offline fallback videos	Offline-Ersatzvideos filtern
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Diese Filter auch auf heruntergeladene Videos anwenden, die TikTok nutzt, wenn der Feed nicht genug neue Beiträge laden kann.
Filter feed tabs	Feed-Tabs filtern
Choose which loaded TikTok feed tabs should stay visible.	Wähle, welche geladenen TikTok-Feed-Tabs sichtbar bleiben.
Allowed loaded tabs	Erlaubte geladene Tabs
Open TikTok home feed to detect loaded tabs.	Öffne den TikTok-Startfeed, damit geladene Tabs erkannt werden.
Block new TikTok tabs	Neue TikTok-Tabs blockieren
Hide tabs TikTok adds later unless you allow them.	Tabs ausblenden, die TikTok später hinzufügt, sofern du sie nicht erlaubst.
Filter bottom tabs	Untere Tabs filtern
Choose which loaded TikTok bottom navigation tabs should stay visible.	Wähle, welche geladenen Tabs der unteren TikTok-Navigation sichtbar bleiben.
Allowed bottom tabs	Erlaubte untere Tabs
Open TikTok home to detect loaded bottom tabs.	Öffne die TikTok-Startseite, damit geladene untere Tabs erkannt werden.
All loaded tabs	Alle geladenen Tabs
Home	Startseite
For You	Für dich
Block new bottom tabs	Neue untere Tabs blockieren
Hide bottom tabs TikTok adds later unless you allow them.	Untere Tabs ausblenden, die TikTok später hinzufügt, sofern du sie nicht erlaubst.
Hide Tako AI	Tako AI ausblenden
Hide the Tako AI feed bubble above the profile button.	Die Tako-AI-Blase im Feed über der Profil-Schaltfläche ausblenden.
Caption text size	Textgröße der Untertitel
Use 0 for TikTok's size, or 12 to 48 sp. Applies to the next caption.	0 für TikToks Größe oder 12 bis 48 sp. Gilt ab dem nächsten Untertitel.
Caption background	Untertitel-Hintergrund
TikTok default	TikTok-Standard
Transparent	Transparent
Dark	Dunkel
Black	Schwarz
Keep captions in clear display	Untertitel in der freien Ansicht behalten
Show the current spoken caption while the other controls are hidden.	Den aktuell gesprochenen Untertitel anzeigen, während die anderen Bedienelemente ausgeblendet sind.
Allow screenshots and Circle to Search	Screenshots und Circle to Search erlauben
Remove secure window flags. Restart TikTok after changing.	Sichere Fenster-Flags entfernen. Starte TikTok nach der Änderung neu.
Automatic clear display	Automatische freie Ansicht
Hide controls after each video starts. Tap to restore them.	Bedienelemente nach dem Start jedes Videos ausblenden. Tippe, um sie wieder einzublenden.
Clear display delay	Verzögerung der freien Ansicht
Wait before hiding the controls.	Wartezeit, bevor die Bedienelemente ausgeblendet werden.
Double tap	Doppeltippen
Do nothing	Nichts tun
Open comments	Kommentare öffnen
Long press	Langes Drücken
TikTok default (2x hold, quick share)	TikTok-Standard (2x halten, schnelles Teilen)
Seek from the edges	Von den Rändern springen
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Halte das linke oder rechte Drittel des Bildschirms gedrückt, um zurück oder vorwärts zu springen. Im mittleren Drittel gilt weiterhin die Aktion für langes Drücken.
Seek by	Sprungweite
How far each edge press moves the video.	Wie weit ein Druck am Rand das Video bewegt.
Confirm before following	Vor dem Folgen bestätigen
Tap the feed Follow button twice within four seconds.	Tippe die Folgen-Schaltfläche im Feed innerhalb von vier Sekunden zweimal an.
Confirm before liking	Vor dem Liken bestätigen
Tap the like heart twice within four seconds. Removing a like stays immediate.	Tippe das Like-Herz innerhalb von vier Sekunden zweimal an. Das Entfernen eines Likes bleibt sofort.
Hide floating promotions	Schwebende Werbeaktionen ausblenden
Hide floating promotion badges, coins, and timer banners on the homepage.	Schwebende Werbe-Abzeichen, Münzen und Timer-Banner auf der Startseite ausblenden.
Hide CAPTCHA popups	CAPTCHA-Popups ausblenden
Hide browsing and LIVE puzzle dialogs. Login, account verification and any puzzle raised over a follow, like, comment or repost stay visible.	Rätsel-Dialoge beim Stöbern und in LIVE ausblenden. Anmeldung, Kontobestätigung und jedes Rätsel, das bei Folgen, Liken, Kommentieren oder Reposten kommt, bleiben sichtbar.
Always show publish date	Veröffentlichungsdatum immer anzeigen
Always show the publish date in video author information. Requires restart.	Das Veröffentlichungsdatum immer in den Angaben zum Video-Ersteller anzeigen. Erfordert einen Neustart.
Skip content warnings	Inhaltswarnungen überspringen
Play videos TikTok has classified without the overlay asking to be tapped through first.	Von TikTok eingestufte Videos abspielen, ohne dass erst eine Warnung weggetippt werden muss.
Show where a video was posted	Anzeigen, wo ein Video veröffentlicht wurde
Show the country a video was posted from next to the creator's name.	Das Land, aus dem ein Video veröffentlicht wurde, neben dem Namen des Creators anzeigen.
Hide the caption	Beschreibung ausblenden
Hide the description under the creator's name on the feed.	Die Beschreibung unter dem Namen des Creators im Feed ausblenden.
Hide the music line	Musikzeile ausblenden
Hide the spinning music cover and the track name beside the caption.	Das drehende Musik-Cover und den Titelnamen neben der Beschreibung ausblenden.
Hide the action bar	Aktionsleiste ausblenden
Hide the column on the right: avatar, like, comments, favourite, share and the music disc.	Die Spalte rechts ausblenden: Avatar, Like, Kommentare, Favorit, Teilen und die Musikscheibe.
Hide surveys	Umfragen ausblenden
Hide the question cards TikTok slides over a video near its end.	Die Fragekarten ausblenden, die TikTok gegen Ende eines Videos einblendet.
Hide the status bar	Statusleiste ausblenden
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Uhr und Statussymbole ausblenden, solange TikTok geöffnet ist. Wische von oben nach unten, um sie kurz zu sehen.
Hide visual search prompt	Bildersuche-Hinweis ausblenden
