# Settings text, English on the left, Indonesian on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
Settings	Pengaturan
Back	Kembali
MENUS	MENU
Save	Simpan
Cancel	Batal
Close	Tutup
Minimum	Minimum
Maximum	Maksimum
Unlimited	Tanpa batas
Do you wish to proceed?	Mau lanjut?
Current: %1$s %2$s	Saat ini: %1$s %2$s
videos	video
days	hari
sp	sp
ms	md
dp	dp
Feed filter	Filter feed
Ads, Shop, livestreams, and view limits.	Iklan, Shop, siaran LIVE, dan batas tayangan.
Feed navigation	Navigasi feed
Feed tabs, bottom tabs, and Tako AI.	Tab feed, tab bawah, dan Tako AI.
Interface	Tampilan
Promotions, popups, publish dates, and feed controls.	Promosi, popup, tanggal unggah, dan kontrol feed.
Comments and translation	Komentar dan terjemahan
Auto translate, quick reactions, and copy options.	Terjemahan otomatis, reaksi cepat, dan opsi salin.
Downloads	Unduhan
Path, watermark, and offline videos.	Lokasi simpan, tanda air, dan video offline.
Playback	Pemutaran
Video quality, speed and automatic advance.	Kualitas video, kecepatan, dan lanjut otomatis.
Inbox	Kotak Masuk
Rows, stories tray, and header controls.	Baris, deret Story, dan kontrol header.
Share sheet	Menu bagikan
Confirm before sending, and hidden people and options.	Konfirmasi sebelum mengirim, serta orang dan opsi yang disembunyikan.
Region settings	Pengaturan wilayah
Country, operator, locale and timezone.	Negara, operator, lokal, dan zona waktu.
App behavior	Perilaku aplikasi
Sharing, playback, and gestures.	Berbagi, pemutaran, dan gestur.
Diagnostics	Diagnostik
Settings backup and diagnostic reports.	Cadangan pengaturan dan laporan diagnostik.
Feature Gate Lab	Feature Gate Lab
Search and override gate flags	Cari dan timpa flag gate
Search local TikTok gate metadata and configure isolated typed overrides.	Cari metadata gate TikTok yang tersimpan di perangkat dan atur penimpaan bertipe secara terpisah.
Start feature gate recording	Mulai merekam feature gate
Stop feature gate recording	Hentikan rekaman feature gate
Return after using a TikTok feature to see every gate read during the recording.	Kembali ke sini setelah memakai fitur TikTok untuk melihat semua gate yang dibaca selama perekaman.
Compare gate reads with their previous values. Last recording: %d gates.	Bandingkan pembacaan gate dengan nilai sebelumnya. Rekaman terakhir: %d gate.
Recorded gate reads (%d)	Pembacaan gate yang terekam (%d)
Save JSON	Simpan JSON
Browse	Telusuri
Copy report	Salin laporan
Back up settings	Cadangkan pengaturan
Save patch settings and Feature Gate Lab rules to a JSON file.	Simpan pengaturan patch dan aturan Feature Gate Lab ke berkas JSON.
Restore settings	Pulihkan pengaturan
Choose a backup file. Your current settings are kept for Undo.	Pilih berkas cadangan. Pengaturanmu yang sekarang disimpan untuk Urungkan.
Reset settings	Setel ulang pengaturan
Restore defaults immediately. Your current settings are kept for Undo.	Kembalikan ke bawaan sekarang juga. Pengaturanmu yang sekarang disimpan untuk Urungkan.
Undo last restore	Urungkan pemulihan terakhir
Recover the settings saved before the last restore or reset.	Ambil kembali pengaturan yang tersimpan sebelum pemulihan atau penyetelan ulang terakhir.
Settings saved. Restart TikTok to apply all changes.	Pengaturan tersimpan. Mulai ulang TikTok untuk menerapkan semua perubahan.
About Hushfeed	Tentang Hushfeed
TikTok patches for Morphe, built on the Metra patches by icysymmetra and the community sets before them. Tap to open the project page.	Patch TikTok untuk Morphe, dibangun di atas patch Metra buatan icysymmetra dan kumpulan komunitas sebelumnya. Ketuk untuk membuka halaman proyek.
Blocked caption words	Kata yang diblokir di keterangan
Comma separated words or phrases. Matching captions are skipped. Case doesn't matter.	Kata atau frasa dipisahkan koma. Keterangan yang cocok akan dilewati. Huruf besar kecil tidak berpengaruh.
Blocked creators	Kreator yang diblokir
Comma separated account handles or user ids. These accounts are always skipped.	Nama pengguna atau id pengguna dipisahkan koma. Akun ini selalu dilewati.
Maximum video length	Durasi video maksimum
Seconds. Zero keeps every length. If only quality rules reject a page, keep the nearest allowed candidate.	Dalam detik. Nol berarti semua durasi ditampilkan. Jika hanya aturan kualitas yang menolak satu halaman, video terdekat yang masih diizinkan tetap dipertahankan.
Maximum views per like	Tayangan maksimum per suka
Lower values require more likes per view. Zero disables this rule. One candidate may be kept to avoid an empty page.	Nilai lebih kecil menuntut lebih banyak suka per tayangan. Nol mematikan aturan ini. Satu video bisa dipertahankan supaya halaman tidak kosong.
Hide promotional music	Sembunyikan musik promosi
Skip videos marked as using promotional music.	Lewati video yang ditandai memakai musik promosi.
Hide LIVE replays	Sembunyikan tayangan ulang LIVE
Skip recorded LIVE broadcasts in the feed.	Lewati rekaman siaran LIVE di feed.
Remove feed ads	Hapus iklan di feed
Remove ads from feed.	Hapus iklan dari feed.
Hide TikTok Shop	Sembunyikan TikTok Shop
Hide TikTok shop from feed.	Sembunyikan TikTok Shop dari feed.
Hide livestreams	Sembunyikan siaran LIVE
Hide livestreams from feed.	Sembunyikan siaran LIVE dari feed.
Hide story	Sembunyikan Story
Hide story from feed.	Sembunyikan Story dari feed.
Hide image video	Sembunyikan video foto
Hide image video from feed.	Sembunyikan video foto dari feed.
Min/Max views	Tayangan min/maks
The minimum or maximum views of a video to show.	Jumlah tayangan minimum atau maksimum agar video ditampilkan.
Min/Max likes	Suka min/maks
The minimum or maximum likes of a video to show.	Jumlah suka minimum atau maksimum agar video ditampilkan.
Hide paid partnerships	Sembunyikan kemitraan berbayar
Hide videos marked as paid partnership or branded content.	Sembunyikan video yang ditandai sebagai kemitraan berbayar atau konten bermerek.
Hide AI generated videos	Sembunyikan video buatan AI
Hide videos carrying TikTok's AI generated label.	Sembunyikan video yang membawa label buatan AI dari TikTok.
Hide verified accounts	Sembunyikan akun terverifikasi
Hide videos posted by verified accounts.	Sembunyikan video yang diunggah akun terverifikasi.
Hide Series	Sembunyikan Series
Hide videos that belong to a paid Series.	Sembunyikan video yang termasuk Series berbayar.
Hide playlist videos	Sembunyikan video playlist
Hide videos posted as part of a playlist.	Sembunyikan video yang diunggah sebagai bagian dari playlist.
Skip blocked sounds	Lewati suara yang diblokir
Skip videos that use a sound blocked with the player's sound button, or named below.	Lewati video yang memakai suara yang diblokir lewat tombol suara di pemutar, atau yang namanya ada di bawah.
Blocked sound names	Nama suara yang diblokir
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Kata dipisahkan koma untuk dicocokkan dengan nama suara, misalnya saxophone. Huruf besar kecil tidak berpengaruh.
Blocked sound ids	Id suara yang diblokir
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Id suara dipisahkan koma yang direkam tombol suara di pemutar. Hapus salah satu untuk membuka blokirnya.
Hide videos you have already seen	Sembunyikan video yang sudah kamu tonton
Keep a local record of what you have watched and drop those videos from later feed pages.	Simpan catatan tontonanmu di perangkat dan buang video itu dari halaman feed berikutnya.
Forget seen videos after	Lupakan video yang sudah ditonton setelah
Days to remember a video. Zero removes the age limit. History keeps at most 10,000 videos.	Jumlah hari sebuah video diingat. Nol menghapus batas usia. Riwayat menyimpan paling banyak 10.000 video.
Clear the seen video history	Hapus riwayat video yang sudah ditonton
Delete the local record of the videos you have watched.	Hapus catatan di perangkat tentang video yang sudah kamu tonton.
Clear the seen video history?	Hapus riwayat video yang sudah ditonton?
This deletes the local record only. Your TikTok account history is not touched.	Ini hanya menghapus catatan di perangkat. Riwayat akun TikTok-mu tidak disentuh.
Seen video history cleared	Riwayat video yang sudah ditonton dihapus
Clear	Hapus
Hide the playlist bar	Sembunyikan bilah playlist
Hide the playlist bar along the bottom of videos that belong to a series.	Sembunyikan bilah playlist di bagian bawah video yang termasuk sebuah seri.
Hide the event badge	Sembunyikan lencana acara
Hide the floating promotional badge over the feed.	Sembunyikan lencana promosi yang mengambang di atas feed.
Hide inserted cards	Sembunyikan kartu sisipan
Hide the friend recommendation card and the other cards TikTok slots between videos.	Sembunyikan kartu rekomendasi teman dan kartu lain yang TikTok selipkan di antara video.
Filter offline fallback videos	Filter video offline cadangan
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Terapkan filter ini juga ke video terunduh yang TikTok pakai saat feed tidak bisa memuat cukup konten baru.
Filter feed tabs	Filter tab feed
Choose which loaded TikTok feed tabs should stay visible.	Pilih tab feed TikTok mana yang tetap terlihat.
Allowed loaded tabs	Tab yang diizinkan
Open TikTok home feed to detect loaded tabs.	Buka feed beranda TikTok untuk mendeteksi tab yang dimuat.
Block new TikTok tabs	Blokir tab TikTok yang baru
